Station Name,Address,Status,Waiting Time,Type,Coordinates,Charging Type,Power Level (kW)
Genesis of Hattiesburg,6412 US-98,N/A,Unknown,N/A,"31.31673057737062, -89.40708852156037",N/A,120
"Pilot Travel Center #1028 Buffalo, TX",2605 West Commerce Street,N/A,Unknown,N/A,"31.44784899516108, -96.07887683312913",N/A,350
"Pilot Travel Center #596 Smiths Creek, MI",2424 Wadhams Road,N/A,Unknown,N/A,"42.976820619444226, -82.54242569368786",N/A,350
"Pilot Travel Center #4651 Skippers, VA",781 Moores Ferry Road,N/A,Unknown,N/A,"36.606331692036875, -77.56097255667575",N/A,350
Tesla Supercharger - Patterson,4 Rodgers Road,N/A,Unknown,N/A,"37.46495141203482, -121.17428994273223",N/A,N/A
300 walkup lane,300 Walkup Ln,N/A,Unknown,N/A,"30.62443506557396, -97.85518134441585",N/A,N/A
Chambersburg Square,970 Norland Ave,N/A,Unknown,N/A,"39.939693641040606, -77.62922604509555",N/A,400
Bluestone Travel Plaza,18 I-77 ,N/A,Unknown,N/A,"37.474649248812696, -81.06773901885525",N/A,150
"Rotten Robbie - Dixon, CA",2299 N 1st Street,N/A,Unknown,N/A,"38.46668100291021, -121.8229027630831",N/A,62
"HTX SuperCharger - Galleria, Houston",5803 Richmond Ave.,N/A,Unknown,N/A,"29.73033967329539, -95.4806885204412",N/A,19.2
Beckley Travel Plaza,500 Vankirk Drive,N/A,Unknown,N/A,"37.80278378709531, -81.21301328605483",N/A,150
Shell,8281 Grand River Ave,N/A,Unknown,N/A,"42.549943411461015, -83.78909741093742",N/A,160
"Ionna - Grand Prairie, TX",4145 S Carrier Pkwy,N/A,Unknown,N/A,"32.646678, -97.006878",N/A,400
Durgin Square,1600 Woodbury Ave,N/A,Unknown,N/A,"43.088424, -70.792789",N/A,400
Shell Recharge,422 North Avenida de la Estrella,N/A,Unknown,N/A,"33.430269960326456, -117.61490550952598",N/A,N/A
"Exit 47 Dog Park, I81",182 Rifton Drive,N/A,Unknown,N/A,"36.84866857121382, -81.48346357449604",N/A,14.2
"City Center West Garage - Oakland, CA",1250 Martin Luther King Jr Way,N/A,Unknown,N/A,"37.80474101517916, -122.2760223082477",N/A,240
