Station Name,Address,Status,Waiting Time,Coordinates,Charging Type,Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
"Thorntons #1 - New Albany, IN",2250 State Street,,Unknown,"38.30806632279362, -85.84205293957926",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #1 - New Albany, IN",2250 State Street,,Unknown,"38.30806632279362, -85.84205293957926",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #611 Nashville, TN",2815 Lebanon Pike,,Unknown,"36.16679, -86.66245",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #611 Nashville, TN",2815 Lebanon Pike,,Unknown,"36.16679, -86.66245",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #611 Nashville, TN",2815 Lebanon Pike,,Unknown,"36.16679, -86.66245",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #611 Nashville, TN",2815 Lebanon Pike,,Unknown,"36.16679, -86.66245",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"BP - Rams Cafe - Petersburg, VA",12600 S Crater Road,,Unknown,"37.13862800000051, -77.35567499999993",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"BP - Rams Cafe - Petersburg, VA",12600 S Crater Road,,Unknown,"37.13862800000051, -77.35567499999993",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"BP - Rams Cafe - Petersburg, VA",12600 S Crater Road,,Unknown,"37.13862800000051, -77.35567499999993",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"BP - Rams Cafe - Petersburg, VA",12600 S Crater Road,,Unknown,"37.13862800000051, -77.35567499999993",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
EvGo GM Energy ,2210 Camp Swatara Road,,Unknown,"40.462954413047584, -76.33915843095373",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
EvGo GM Energy ,2210 Camp Swatara Road,,Unknown,"40.462954413047584, -76.33915843095373",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
EvGo GM Energy ,2210 Camp Swatara Road,,Unknown,"40.462954413047584, -76.33915843095373",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
EvGo GM Energy ,2210 Camp Swatara Road,,Unknown,"40.462954413047584, -76.33915843095373",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
