Station Name,Address,Status,Waiting Time,Coordinates,Charging Type,Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
Peppertree Plaza Shopping Center,968 Murrieta Blvd,,Unknown,"37.67689035123777, -121.78545175267737",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Peppertree Plaza Shopping Center,968 Murrieta Blvd,,Unknown,"37.67689035123777, -121.78545175267737",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Peppertree Plaza Shopping Center,968 Murrieta Blvd,,Unknown,"37.67689035123777, -121.78545175267737",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Peppertree Plaza Shopping Center,968 Murrieta Blvd,,Unknown,"37.67689035123777, -121.78545175267737",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Grocery Outlet - Lakeside, CA",9728 Winter Gardens Blvd,,Unknown,"32.85544064909381, -116.93271042092707",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Grocery Outlet - Lakeside, CA",9728 Winter Gardens Blvd,,Unknown,"32.85544064909381, -116.93271042092707",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Grocery Outlet - Lakeside, CA",9728 Winter Gardens Blvd,,Unknown,"32.85544064909381, -116.93271042092707",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Grocery Outlet - Lakeside, CA",9728 Winter Gardens Blvd,,Unknown,"32.85544064909381, -116.93271042092707",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Copperwood Village,6955 Highway 6 N,,Unknown,"29.877877857490745, -95.64590106850244",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Copperwood Village,6955 Highway 6 N,,Unknown,"29.877877857490745, -95.64590106850244",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Copperwood Village,6955 Highway 6 N,,Unknown,"29.877877857490745, -95.64590106850244",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Copperwood Village,6955 Highway 6 N,,Unknown,"29.877877857490745, -95.64590106850244",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Victorian Square Mall,1301 E Calaveras Blvd,,Unknown,"37.436195222193575, -121.88479946318888",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Victorian Square Mall,1301 E Calaveras Blvd,,Unknown,"37.436195222193575, -121.88479946318888",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Victorian Square Mall,1301 E Calaveras Blvd,,Unknown,"37.436195222193575, -121.88479946318888",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Victorian Square Mall,1301 E Calaveras Blvd,,Unknown,"37.436195222193575, -121.88479946318888",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"McDonalds - Rogers, MN",21300 Rogers Drive,,Unknown,"45.195569169457684, -93.54930605737479",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"McDonalds - Rogers, MN",21300 Rogers Drive,,Unknown,"45.195569169457684, -93.54930605737479",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"McDonalds - Rogers, MN",21300 Rogers Drive,,Unknown,"45.195569169457684, -93.54930605737479",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"McDonalds - Rogers, MN",21300 Rogers Drive,,Unknown,"45.195569169457684, -93.54930605737479",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"McDonalds - Milwaukee, WI",191 West Layton Ave,,Unknown,"42.958782855872386, -87.91367930210414",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"McDonalds - Milwaukee, WI",191 West Layton Ave,,Unknown,"42.958782855872386, -87.91367930210414",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"McDonalds - Milwaukee, WI",191 West Layton Ave,,Unknown,"42.958782855872386, -87.91367930210414",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"McDonalds - Milwaukee, WI",191 West Layton Ave,,Unknown,"42.958782855872386, -87.91367930210414",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Siesta Hills Shopping Center,5305 S Gibson Blvd.,,Unknown,"35.05890755413105, -106.58251867212513",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Siesta Hills Shopping Center,5305 S Gibson Blvd.,,Unknown,"35.05890755413105, -106.58251867212513",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Siesta Hills Shopping Center,5305 S Gibson Blvd.,,Unknown,"35.05890755413105, -106.58251867212513",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Siesta Hills Shopping Center,5305 S Gibson Blvd.,,Unknown,"35.05890755413105, -106.58251867212513",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Phillips Crossing, Orlando, FL",8015 Turkey Lake Road,,Unknown,"28.448394908959884, -81.47753572768455",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Phillips Crossing, Orlando, FL",8015 Turkey Lake Road,,Unknown,"28.448394908959884, -81.47753572768455",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Phillips Crossing, Orlando, FL",8015 Turkey Lake Road,,Unknown,"28.448394908959884, -81.47753572768455",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Phillips Crossing, Orlando, FL",8015 Turkey Lake Road,,Unknown,"28.448394908959884, -81.47753572768455",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Cardenas Market, Hesperia CA",15555 Main Street,,Unknown,"34.42361217270316, -117.32499670380082",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Cardenas Market, Hesperia CA",15555 Main Street,,Unknown,"34.42361217270316, -117.32499670380082",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Cardenas Market, Hesperia CA",15555 Main Street,,Unknown,"34.42361217270316, -117.32499670380082",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Cardenas Market, Hesperia CA",15555 Main Street,,Unknown,"34.42361217270316, -117.32499670380082",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Cityline Market,1411 East Renner Road,,Unknown,"32.998110364303855, -96.69882325233078",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Cityline Market,1411 East Renner Road,,Unknown,"32.998110364303855, -96.69882325233078",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Cityline Market,1411 East Renner Road,,Unknown,"32.998110364303855, -96.69882325233078",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Cityline Market,1411 East Renner Road,,Unknown,"32.998110364303855, -96.69882325233078",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Pilot Travel Center,2424 Wadhams Rd,,Unknown,"42.97687881948349, -82.54211552237115",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Pilot Travel Center,2424 Wadhams Rd,,Unknown,"42.97687881948349, -82.54211552237115",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Pilot Travel Center,2424 Wadhams Rd,,Unknown,"42.97687881948349, -82.54211552237115",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Pilot Travel Center,2424 Wadhams Rd,,Unknown,"42.97687881948349, -82.54211552237115",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Pilot Travel Center #1028 Buffalo, TX",2605 West Commerce Street,,Unknown,"31.44784899516108, -96.07887683312913",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Pilot Travel Center #1028 Buffalo, TX",2605 West Commerce Street,,Unknown,"31.44784899516108, -96.07887683312913",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Pilot Travel Center #1028 Buffalo, TX",2605 West Commerce Street,,Unknown,"31.44784899516108, -96.07887683312913",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Pilot Travel Center #1028 Buffalo, TX",2605 West Commerce Street,,Unknown,"31.44784899516108, -96.07887683312913",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Pilot Travel Center #596 Smiths Creek, MI",2424 Wadhams Road,,Unknown,"42.976820619444226, -82.54242569368786",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Pilot Travel Center #596 Smiths Creek, MI",2424 Wadhams Road,,Unknown,"42.976820619444226, -82.54242569368786",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Pilot Travel Center #596 Smiths Creek, MI",2424 Wadhams Road,,Unknown,"42.976820619444226, -82.54242569368786",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Pilot Travel Center #596 Smiths Creek, MI",2424 Wadhams Road,,Unknown,"42.976820619444226, -82.54242569368786",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Pilot Travel Center #4651 Skippers, VA",781 Moores Ferry Road,,Unknown,"36.606331692036875, -77.56097255667575",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Pilot Travel Center #4651 Skippers, VA",781 Moores Ferry Road,,Unknown,"36.606331692036875, -77.56097255667575",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Pilot Travel Center #4651 Skippers, VA",781 Moores Ferry Road,,Unknown,"36.606331692036875, -77.56097255667575",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
"Pilot Travel Center #4651 Skippers, VA",781 Moores Ferry Road,,Unknown,"36.606331692036875, -77.56097255667575",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Bluestone Travel Plaza,18 I-77 ,,Unknown,"37.474649248812696, -81.06773901885525",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
Bluestone Travel Plaza,18 I-77 ,,Unknown,"37.474649248812696, -81.06773901885525",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
Bluestone Travel Plaza,18 I-77 ,,Unknown,"37.474649248812696, -81.06773901885525",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
Bluestone Travel Plaza,18 I-77 ,,Unknown,"37.474649248812696, -81.06773901885525",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
Beckley Travel Plaza,500 Vankirk Drive,,Unknown,"37.80278378709531, -81.21301328605483",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
Beckley Travel Plaza,500 Vankirk Drive,,Unknown,"37.80278378709531, -81.21301328605483",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
Beckley Travel Plaza,500 Vankirk Drive,,Unknown,"37.80278378709531, -81.21301328605483",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
Beckley Travel Plaza,500 Vankirk Drive,,Unknown,"37.80278378709531, -81.21301328605483",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #318 West Chicago, IL",1330 S Neltnor Blvd,,Unknown,"41.86328695566951, -88.19591539291429",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #318 West Chicago, IL",1330 S Neltnor Blvd,,Unknown,"41.86328695566951, -88.19591539291429",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #318 West Chicago, IL",1330 S Neltnor Blvd,,Unknown,"41.86328695566951, -88.19591539291429",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
