station_id,latitude,longitude,num_chargers,charger_speed
311709,43.01966188077989,-83.32169477891497,2.0,125.0
311613,41.41619830139183,-84.10499089014816,4.0,350.0
311587,42.18464893920972,-83.74172601109308,2.0,60.0
311586,42.5400152934009,-83.78877648936871,12.0,250.0
311585,42.42733150000629,-82.90891833438627,6.0,350.0
311581,30.183938673981572,-81.62541156086436,8.0,350.0
311579,33.47922772277374,-111.98561491929566,1.0,350.0
311578,39.05586437918734,-104.85310571754087,1.0,350.0
311577,35.4808394197364,-108.43353829377901,1.0,350.0
311576,38.41137461248874,-96.23667377256119,1.0,350.0
311575,35.49790189661056,-80.56150457086042,4.0,350.0
311574,37.18401357570761,-77.3180918831336,1.0,350.0
311573,41.416796258634065,-84.10496337251186,1.0,350.0
311569,31.925446860260507,-81.3331418951143,1.0,400.0
311568,27.961213073149523,-82.7671794973801,4.0,150.0
311567,28.066317970134264,-82.73950409041777,4.0,150.0
311566,28.04260164512189,-82.67764269156174,8.0,150.0
311565,28.04077444575792,-82.50851136424468,4.0,150.0
311564,27.995425307968873,-82.48351328486353,6.0,150.0
311563,27.99688201987439,-82.55060219034677,6.0,150.0
311508,37.768919999997834,-122.4196599999998,12.0,320.0
311418,37.288538528018606,-121.78112113586167,1.0,350.0
311417,39.91532375933673,-86.11032892406269,6.0,350.0
311416,34.24029395134224,-81.45859702174242,4.0,350.0
311415,45.23396638672571,-122.81043636637281,4.0,350.0
311413,27.791037815307646,-82.34189562495864,1.0,150.0
311403,33.930414711381516,-81.07722241752805,4.0,350.0
311402,35.57189742519469,-82.95587489466722,4.0,350.0
311401,29.495135565090294,-95.91121910369873,4.0,350.0
311400,30.559759429331464,-88.20561126664307,4.0,350.0
311377,34.42513946425062,-119.70576370458451,6.0,350.0
311325,48.18762603076519,-122.19930614977596,1.0,200.0
311312,46.64174330922404,-122.9504899920414,2.0,240.0
311293,42.303934337288695,-74.27238198055977,1.0,7.2
311292,42.44298734261224,-76.50905970426822,1.0,7.2
311291,41.95454817359669,-75.27938221780994,1.0,7.2
311290,42.411672921057885,-73.26333658293544,1.0,120.0
311289,42.62486305041975,-73.70265286385518,1.0,240.0
311288,40.45715368712365,-74.39459608300285,1.0,240.0
311277,39.025733802725455,-94.24962996267743,1.0,400.0
311276,32.79321951069673,-97.05808559989504,1.0,400.0
311255,38.03633326655236,-78.51417960980038,1.0,25.0
311247,47.38668102427937,-122.18607816241465,1.0,150.0
311235,42.35764521282542,-88.06840312134125,1.0,150.0
311233,34.17519270988271,-82.02255955794413,1.0,150.0
311232,33.07665945170558,-116.59711187722712,1.0,62.0
311231,41.08445878794839,-111.97922098814816,1.0,350.0
311230,41.028322079978636,-77.52166789687607,1.0,350.0
311229,43.5392919274984,-123.28792976328268,1.0,350.0
311228,35.53098583638754,-119.18807039329766,1.0,350.0
311227,39.00293656591765,-93.73493709694452,1.0,350.0
311226,42.35992563926351,-88.00052452011288,1.0,150.0
309482,36.83921292277964,-121.39554278998855,1.0,350.0
309472,37.98977960021405,-121.69756073685744,1.0,180.0
309471,35.45786596731854,-79.15142571674193,1.0,150.0
309470,34.699114122205756,-79.8821816984971,1.0,150.0
309469,34.21638867863879,-80.24846147155853,1.0,150.0
309468,42.18335682126252,-71.18777428626686,1.0,240.0
309467,42.20136278433358,-71.18890390926208,1.0,180.0
309379,34.13853417668945,-82.13121362784486,2.0,150.0
309378,34.902852224750134,-79.71125827333924,2.0,150.0
309377,33.968532006106074,-80.04545027635909,2.0,150.0
309376,33.87412619887124,-79.7552998100505,2.0,150.0
309249,32.97899335131942,-115.53844425131359,1.0,180.0
309178,38.49642636262331,-121.43159284547673,1.0,325.0
309177,38.597460870053084,-121.42196824300697,1.0,350.0
309170,39.32635900000025,-101.72670699999992,1.0,400.0
309168,34.992387083464536,-117.54076618034145,1.0,200.0
309167,35.34016706276604,-118.84278367046278,1.0,200.0
309166,34.495881662744,-118.62590990468692,1.0,200.0
309165,34.818293627961324,-118.88226842347609,1.0,200.0
309164,34.82380112806031,-118.87842964217847,1.0,200.0
309163,35.98712411066941,-119.96286721735133,1.0,200.0
309162,37.104597857867034,-121.01520227620512,1.0,200.0
309161,38.0519574856867,-121.37390710274917,1.0,200.0
309160,38.114984,-121.394141,1.0,200.0
309142,29.32564972113903,-96.12266805136898,10.0,400.0
309135,37.642403423206346,-122.40350615876116,4.0,120.0
309134,37.567762882969674,-84.3063031460672,1.0,180.0
309101,32.06392892572525,-84.25304860290669,1.0,62.0
309100,32.2824029999976,-83.46476299999767,1.0,62.0
309088,32.09036761630553,-84.6667086218339,1.0,62.5
309087,33.29357762562715,-85.47827818361208,1.0,80.0
309078,38.78429739017122,-121.28397801736389,4.0,19.2
309077,38.78404882954598,-121.28196772025439,4.0,19.2
309075,42.43093986125078,-83.4242923586132,2.0,60.0
309072,44.28445990895344,-73.98751574892695,4.0,200.0
309071,43.08273774135395,-79.05920344864197,4.0,200.0
309059,42.59089235729451,-83.48661256861095,2.0,180.0
309051,37.55283996698718,-121.9790903232084,1.0,350.0
