station_id,latitude,longitude,num_chargers,charger_speed,coverage,average_vehicle_distance_km
311709,43.01966188077989,-83.32169477891497,2.0,125.0,153388.78472706155,3205.9478368820774
311613,41.41619830139183,-84.10499089014816,4.0,350.0,146779.17610872354,3139.1601307840783
311587,42.18464893920972,-83.74172601109308,2.0,60.0,149458.6022384466,3169.4576846787527
311586,42.5400152934009,-83.78877648936871,12.0,250.0,150542.73753766733,3166.4217270838576
311585,42.42733150000629,-82.90891833438627,6.0,350.0,152103.99701625452,3237.890059127347
311581,30.18393867398157,-81.62541156086436,8.0,350.0,169327.78998358388,3587.893139685328
311579,33.47922772277374,-111.98561491929566,1.0,350.0,187809.91803861147,779.7980043796981
311578,39.05586437918734,-104.85310571754088,1.0,350.0,160573.63742879446,1387.3947456556937
311577,35.4808394197364,-108.433538293779,1.0,350.0,172423.2556040314,1050.5605705701805
311576,38.41137461248874,-96.2366737725612,1.0,350.0,144640.16190935837,2110.4637984170486
311575,35.49790189661056,-80.56150457086042,4.0,350.0,153312.81414174143,3517.8186484122843
311574,37.18401357570761,-77.3180918831336,1.0,350.0,166785.22356610224,3764.0559826020344
311573,41.41679625863407,-84.10496337251186,1.0,350.0,146780.55381444635,3139.1620193664144
311569,31.925446860260507,-81.3331418951143,1.0,400.0,161677.46604685433,3551.3612494161093
311568,27.961213073149523,-82.7671794973801,4.0,150.0,178554.4479727843,3577.3460107874143
311567,28.066317970134264,-82.73950409041777,4.0,150.0,177922.9104036705,3575.1793908547365
311566,28.04260164512189,-82.67764269156174,8.0,150.0,178229.12528802795,3581.776677559073
311565,28.04077444575792,-82.50851136424468,4.0,150.0,178722.30025724083,3597.034314482539
311564,27.99542530796888,-82.48351328486353,6.0,150.0,179098.99200805774,3601.2815731734418
311563,27.99688201987439,-82.55060219034677,6.0,150.0,178881.5711502666,3595.1970064175207
311508,37.76891999999784,-122.4196599999998,12.0,320.0,220441.7725815329,405.23591184013793
311418,37.288538528018606,-121.78112113586168,1.0,350.0,217116.242857116,365.5366221665904
311417,39.91532375933673,-86.11032892406269,6.0,350.0,141703.88067331238,2974.373214172436
311416,34.24029395134224,-81.45859702174242,4.0,350.0,152534.25186714495,3470.1031904022743
311415,45.23396638672571,-122.8104363663728,4.0,350.0,232839.4351347738,1092.7149748376523
311413,27.791037815307646,-82.34189562495864,1.0,150.0,180993.5630062295,3623.083478499957
311403,33.93041471138152,-81.07722241752805,4.0,350.0,154680.95384015804,3512.4738282086696
311402,35.57189742519469,-82.95587489466722,4.0,350.0,146341.7758368237,3305.055288134912
311401,29.49513556509029,-95.91121910369873,4.0,350.0,167131.43485540478,2338.411150057585
311400,30.559759429331464,-88.20561126664307,4.0,350.0,157492.55195005465,2982.6954933171637
311377,34.42513946425062,-119.70576370458453,6.0,350.0,213684.81480681707,325.6485536804399
311325,48.18762603076519,-122.19930614977596,1.0,200.0,239739.70516947997,1398.0556199812497
311312,46.64174330922404,-122.9504899920414,2.0,240.0,237710.98048696225,1243.0909571202262
311293,42.303934337288695,-74.27238198055977,1.0,7.2,185967.98485236405,3943.6913566180438
311292,42.44298734261224,-76.50905970426822,1.0,7.2,175200.5448212812,3760.112624177809
311291,41.95454817359669,-75.27938221780994,1.0,7.2,179936.77324155002,3864.623821640831
311290,42.411672921057885,-73.26333658293544,1.0,120.0,191879.6652404634,4024.846410422206
311289,42.62486305041975,-73.70265286385518,1.0,240.0,189853.14571886967,3987.014931496643
311288,40.45715368712365,-74.39459608300285,1.0,240.0,182774.46298788808,3955.7757836500678
311277,39.025733802725455,-94.24962996267745,1.0,400.0,142405.96804730478,2282.1660739817976
311276,32.79321951069673,-97.05808559989504,1.0,400.0,155199.88449957437,2114.701270129425
311255,38.03633326655236,-78.51417960980038,1.0,25.0,160531.56112633037,3644.4268199178473
311247,47.38668102427937,-122.18607816241465,1.0,150.0,236586.6046086852,1311.315391832045
311235,42.35764521282542,-88.06840312134125,1.0,150.0,146012.3076244834,2817.115560470977
311233,34.17519270988271,-82.02255955794413,1.0,150.0,151047.5026341592,3421.7454430843404
311232,33.07665945170558,-116.59711187722712,1.0,62.0,205176.6941732255,437.7923398806445
311231,41.08445878794839,-111.97922098814816,1.0,350.0,180600.80371811663,943.0759992284735
311230,41.02832207997864,-77.52166789687607,1.0,350.0,167489.45173566893,3688.1544922108687
311229,43.5392919274984,-123.28792976328268,1.0,350.0,231383.67026407016,929.8651126358501
311228,35.53098583638754,-119.18807039329766,1.0,350.0,207355.55689232564,307.2868229008098
311227,39.00293656591765,-93.73493709694452,1.0,350.0,141908.17060589165,2326.138546253987
311226,42.35992563926351,-88.00052452011288,1.0,150.0,146037.25802197968,2822.654224125064
309482,36.83921292277964,-121.39554278998855,1.0,350.0,215783.36126833796,349.0188073575596
309472,37.98977960021405,-121.69756073685744,1.0,180.0,215709.51242885977,386.34108885438087
309471,35.45786596731854,-79.15142571674193,1.0,150.0,159429.77454011003,3642.9050591866912
309470,34.69911412220576,-79.8821816984971,1.0,150.0,157386.99175723,3597.6581544381675
309469,34.21638867863879,-80.24846147155853,1.0,150.0,157004.1379694307,3578.1648608220135
309468,42.18335682126252,-71.18777428626686,1.0,240.0,204202.91175683436,4196.62395830597
309467,42.20136278433358,-71.18890390926208,1.0,180.0,204223.83489980383,4196.292739193066
309379,34.13853417668945,-82.13121362784486,2.0,150.0,150861.04374285683,3413.070067077555
309378,34.902852224750134,-79.71125827333924,2.0,150.0,157735.08275348818,3607.473833160934
309377,33.968532006106074,-80.04545027635909,2.0,150.0,158610.15509914063,3603.0877947073454
309376,33.87412619887124,-79.7552998100505,2.0,150.0,160250.37736304832,3631.544549750824
309249,32.97899335131942,-115.5384442513136,1.0,180.0,201510.43761929328,516.1102284071561
309178,38.49642636262331,-121.43159284547671,1.0,325.0,214037.5478229792,409.6085880463755
309177,38.59746087005309,-121.42196824300696,1.0,350.0,214003.1485525094,416.33664314461396
309170,39.32635900000025,-101.72670699999992,1.0,400.0,154157.81518830155,1651.7917303302572
