station_id,latitude,longitude,num_chargers,charger_speed,charger_cost,station_cost
309468.0,42.18335682126252,-71.18777428626686,1,240.0,325000.0,325000.0
308572.0,37.80474101517916,-122.2760223082477,2,240.0,325000.0,650000.0
311247.0,47.38668102427937,-122.18607816241465,1,150.0,260000.0,260000.0
309469.0,34.21638867863879,-80.24846147155853,1,150.0,260000.0,260000.0
309467.0,42.20136278433358,-71.18890390926208,1,180.0,260000.0,260000.0
309088.0,32.09036761630553,-84.6667086218339,1,62.5,115000.0,115000.0
311325.0,48.18762603076519,-122.19930614977596,1,200.0,325000.0,325000.0
308670.0,43.088424,-70.792789,3,400.0,335000.0,1005000.0
311312.0,46.64174330922404,-122.9504899920414,2,240.0,325000.0,650000.0
309030.0,28.448394908959884,-81.47753572768455,1,350.0,335000.0,335000.0
309162.0,37.10459785786704,-121.01520227620512,2,200.0,325000.0,650000.0
309040.0,37.8036797096042,-122.28230705392023,2,350.0,335000.0,670000.0
309039.0,42.48482982685712,-71.01842748374695,4,350.0,335000.0,1340000.0
309051.0,37.55283996698718,-121.9790903232084,2,350.0,335000.0,670000.0
309042.0,25.685233380708667,-80.39895533986856,6,350.0,335000.0,2010000.0
309166.0,34.495881662744,-118.62590990468692,1,200.0,325000.0,325000.0
309471.0,35.45786596731854,-79.15142571674193,1,150.0,260000.0,260000.0
309036.0,32.85544064909381,-116.93271042092708,1,350.0,335000.0,335000.0
309101.0,32.06392892572525,-84.25304860290669,1,62.0,115000.0,115000.0
309378.0,34.902852224750134,-79.71125827333924,1,150.0,260000.0,260000.0
309033.0,45.19556916945768,-93.5493060573748,1,350.0,335000.0,335000.0
308680.0,29.73033967329539,-95.4806885204412,1,19.2,5000.0,5000.0
309161.0,38.0519574856867,-121.37390710274916,1,200.0,325000.0,325000.0
309167.0,35.34016706276604,-118.84278367046278,1,200.0,325000.0,325000.0
309028.0,34.42361217270316,-117.32499670380082,1,350.0,335000.0,335000.0
309178.0,38.49642636262331,-121.43159284547671,1,325.0,325000.0,325000.0
309044.0,37.50415849614184,-77.60369851800704,1,350.0,335000.0,335000.0
308676.0,37.80278378709531,-81.21301328605483,1,150.0,260000.0,260000.0
309041.0,32.86959694815948,-117.23104041764024,1,350.0,335000.0,335000.0
309177.0,38.59746087005309,-121.42196824300696,2,350.0,335000.0,670000.0
309165.0,34.818293627961324,-118.88226842347608,1,200.0,325000.0,325000.0
308835.0,42.97682061944423,-82.54242569368786,1,350.0,335000.0,335000.0
309163.0,35.98712411066941,-119.96286721735132,1,200.0,325000.0,325000.0
311255.0,38.03633326655236,-78.51417960980038,1,25.0,5000.0,5000.0
311232.0,33.07665945170558,-116.59711187722712,1,62.0,115000.0,115000.0
308557.0,42.468610180594055,-83.14073053617967,1,240.0,325000.0,325000.0
309249.0,32.97899335131942,-115.5384442513136,1,180.0,260000.0,260000.0
309482.0,36.83921292277964,-121.39554278998855,1,350.0,335000.0,335000.0
309168.0,34.992387083464536,-117.54076618034144,1,200.0,325000.0,325000.0
309037.0,37.67689035123777,-121.78545175267736,1,350.0,335000.0,335000.0
311227.0,39.00293656591765,-93.73493709694452,1,350.0,335000.0,335000.0
309470.0,34.69911412220576,-79.8821816984971,1,150.0,260000.0,260000.0
311277.0,39.025733802725455,-94.24962996267745,1,400.0,335000.0,335000.0
309472.0,37.98977960021405,-121.69756073685744,1,180.0,260000.0,260000.0
308838.0,31.31673057737062,-89.40708852156037,1,120.0,190000.0,190000.0
309377.0,33.968532006106074,-80.04545027635909,1,150.0,260000.0,260000.0
309160.0,38.114984,-121.394141,1,200.0,325000.0,325000.0
309072.0,44.28445990895344,-73.98751574892695,1,200.0,325000.0,325000.0
309134.0,37.56776288296968,-84.3063031460672,1,180.0,260000.0,260000.0
308786.0,37.474649248812696,-81.06773901885525,1,150.0,260000.0,260000.0
309078.0,38.78429739017122,-121.28397801736388,1,19.2,5000.0,5000.0
309031.0,35.05890755413105,-106.58251867212512,1,350.0,335000.0,335000.0
309032.0,42.95878285587239,-87.91367930210414,1,350.0,335000.0,335000.0
309379.0,34.13853417668945,-82.13121362784486,1,150.0,260000.0,260000.0
308570.0,37.421613339457295,-121.91745189835471,1,250.0,325000.0,325000.0
311233.0,34.17519270988271,-82.02255955794413,1,150.0,260000.0,260000.0
311230.0,41.02832207997864,-77.52166789687607,1,350.0,335000.0,335000.0
309142.0,29.32564972113903,-96.12266805136898,1,400.0,335000.0,335000.0
308510.0,34.024821852420615,-84.35867881951971,1,11.5,5000.0,5000.0
309077.0,38.78404882954598,-121.2819677202544,1,19.2,5000.0,5000.0
311226.0,42.35992563926351,-88.00052452011288,1,150.0,260000.0,260000.0
309071.0,43.08273774135395,-79.05920344864197,1,200.0,325000.0,325000.0
309034.0,37.436195222193575,-121.88479946318888,1,350.0,335000.0,335000.0
309164.0,34.82380112806031,-118.87842964217847,1,200.0,325000.0,325000.0
309135.0,37.642403423206346,-122.40350615876116,1,120.0,190000.0,190000.0
