station_id,latitude,longitude,num_chargers,charger_speed,coverage,average_vehicle_distance_km
81982,34.052495,-118.255408,3.0,50.0,4,17.208183306149795
81910,34.050184,-118.257063,2.0,50.0,4,17.18699719397976
51822,34.0418652,-118.256987,3.0,50.0,4,17.192551822982608
79018,34.046049,-118.266185,1.0,50.0,4,17.11982673505198
290571,34.014737,-118.237373,8.0,250.0,4,17.709233151204046
39892,34.095187,-118.292718,1.0,50.0,0,17.783393686398586
