Id,Coordinates,Power Level (kW),Chargers per Site,Cost
87,"37.13862800000051, -77.35567499999993",150,3-5 chargers per site,"$28,312"
88,"37.13862800000051, -77.35567499999993",150,6-20 chargers per site,"$18,577"
89,"40.462954413047584, -76.33915843095373",350,1 charger per site,"$65,984"
90,"40.462954413047584, -76.33915843095373",350,2 chargers per site,"$52,541"
91,"40.462954413047584, -76.33915843095373",350,3-5 chargers per site,"$39,097"
92,"40.462954413047584, -76.33915843095373",350,3-5 chargers per site,"$25,654"
93,"37.999984307714, -121.84195189328751",350,1 charger per site,"$65,984"
94,"37.999984307714, -121.84195189328751",350,2 chargers per site,"$52,541"
95,"37.999984307714, -121.84195189328751",350,3-5 chargers per site,"$39,097"
96,"37.999984307714, -121.84195189328751",350,3-5 chargers per site,"$25,654"
97,"46.86308490841648, -96.87991539265829",350,1 charger per site,"$65,984"
98,"46.86308490841648, -96.87991539265829",350,2 chargers per site,"$52,541"
99,"46.86308490841648, -96.87991539265829",350,3-5 chargers per site,"$39,097"
100,"46.86308490841648, -96.87991539265829",350,3-5 chargers per site,"$25,654"
101,"40.751031106221916, -88.00091942984145",350,1 charger per site,"$65,984"
102,"40.751031106221916, -88.00091942984145",350,2 chargers per site,"$52,541"
103,"40.751031106221916, -88.00091942984145",350,3-5 chargers per site,"$39,097"
104,"40.751031106221916, -88.00091942984145",350,3-5 chargers per site,"$25,654"
105,"41.96314151282516, -112.710093505426",350,1 charger per site,"$65,984"
106,"41.96314151282516, -112.710093505426",350,2 chargers per site,"$52,541"
107,"41.96314151282516, -112.710093505426",350,3-5 chargers per site,"$39,097"
108,"41.96314151282516, -112.710093505426",350,3-5 chargers per site,"$25,654"
109,"34.53799756985953, -86.91156507565898",350,1 charger per site,"$65,984"
110,"34.53799756985953, -86.91156507565898",350,2 chargers per site,"$52,541"
111,"34.53799756985953, -86.91156507565898",350,3-5 chargers per site,"$39,097"
112,"34.53799756985953, -86.91156507565898",350,3-5 chargers per site,"$25,654"
113,"37.740480602323856, -88.96444033723427",350,1 charger per site,"$65,984"
114,"37.740480602323856, -88.96444033723427",350,2 chargers per site,"$52,541"
115,"37.740480602323856, -88.96444033723427",350,3-5 chargers per site,"$39,097"
116,"37.740480602323856, -88.96444033723427",350,3-5 chargers per site,"$25,654"
117,"41.36857297575793, -89.09737866568555",350,1 charger per site,"$65,984"
118,"41.36857297575793, -89.09737866568555",350,2 chargers per site,"$52,541"
119,"41.36857297575793, -89.09737866568555",350,3-5 chargers per site,"$39,097"
120,"41.36857297575793, -89.09737866568555",350,3-5 chargers per site,"$25,654"
121,"42.781075308479046, -74.029295606906",350,1 charger per site,"$65,984"
122,"42.781075308479046, -74.029295606906",350,2 chargers per site,"$52,541"
123,"42.781075308479046, -74.029295606906",350,3-5 chargers per site,"$39,097"
124,"42.781075308479046, -74.029295606906",350,3-5 chargers per site,"$25,654"
125,"34.914416097818574, -114.15510513020007",350,1 charger per site,"$65,984"
126,"34.914416097818574, -114.15510513020007",350,2 chargers per site,"$52,541"
127,"34.914416097818574, -114.15510513020007",350,3-5 chargers per site,"$39,097"
128,"34.914416097818574, -114.15510513020007",350,3-5 chargers per site,"$25,654"
129,"42.66031322891874, -112.20744996280206",350,1 charger per site,"$65,984"
130,"42.66031322891874, -112.20744996280206",350,2 chargers per site,"$52,541"
131,"42.66031322891874, -112.20744996280206",350,3-5 chargers per site,"$39,097"
132,"42.66031322891874, -112.20744996280206",350,3-5 chargers per site,"$25,654"
133,"31.997197571560363, -106.58036555881125",350,1 charger per site,"$65,984"
134,"31.997197571560363, -106.58036555881125",350,2 chargers per site,"$52,541"
135,"31.997197571560363, -106.58036555881125",350,3-5 chargers per site,"$39,097"
136,"31.997197571560363, -106.58036555881125",350,3-5 chargers per site,"$25,654"
137,"36.071459, -79.352926",350,1 charger per site,"$65,984"
138,"36.071459, -79.352926",350,2 chargers per site,"$52,541"
139,"36.071459, -79.352926",350,3-5 chargers per site,"$39,097"
140,"36.071459, -79.352926",350,3-5 chargers per site,"$25,654"
141,"38.63271799995502, -121.32928859883526",350,1 charger per site,"$65,984"
142,"38.63271799995502, -121.32928859883526",350,2 chargers per site,"$52,541"
