station_id,latitude,longitude,num_chargers,charger_speed,coverage
312424,38.67453443826619,-121.72639290368966,1.0,120.0,215844.84132125584
312240,33.480475,-84.219536,1.0,200.0,128946.18508522416
312153,43.893526,-91.078007,8.0,400.0,131773.01652977805
312152,40.422255992413085,-79.92924754399678,1.0,200.0,129764.59863008498
312151,40.18276419444595,-80.26264238568058,1.0,300.0,128570.5968548622
312150,40.669836525106206,-80.31539444652128,1.0,300.0,129098.06185026036
312149,46.72694914788983,-122.97510213249836,1.0,200.0,227305.97453673
312147,47.138552999999405,-122.52556499999992,1.0,200.0,226110.03727594038
312124,40.99071256830376,-78.16806550443036,4.0,400.0,136330.4049463907
312123,32.41439528616175,-100.85949437456485,8.0,400.0,152505.00611151665
312122,39.292280639492446,-102.87556392502016,4.0,400.0,145684.45331810875
312121,34.187737428649484,-101.752178074462,8.0,400.0,149317.58774714763
312068,35.801074720113874,-78.81448849833393,1.0,6.0,134912.76526859016
312063,42.31018897124292,-71.05138372613006,1.0,7.7,172324.2688172284
312037,35.36067009559915,-75.5047075847549,2.0,7.0,151186.34647347493
312036,35.360615796944344,-75.50473074274322,2.0,7.0,151186.36588112137
312035,44.04947592064926,-83.70161190936591,4.0,150.0,132889.17965588314
311885,38.2212200491642,-122.12704070844325,1.0,325.0,218555.27519777854
311833,32.34579480133512,-88.72787600601788,1.0,350.0,132630.97885759088
311825,34.220319958458774,-118.47146754789276,14.0,9.0,210498.8086048272
311824,37.18362838599306,-122.53297103282912,14.0,9.0,222904.4294318695
311764,39.15855506282696,-122.14365477234156,4.0,10.0,217822.67428065964
311730,38.67617164016937,-121.74814402567168,1.0,120.0,215958.0016705362
311709,43.01966188077989,-83.32169477891497,2.0,125.0,129118.29397420891
311613,41.41619830139183,-84.10499089014816,4.0,350.0,123562.44829772486
311587,42.18464893920972,-83.74172601109308,2.0,60.0,125806.27033484388
311586,42.5400152934009,-83.78877648936871,12.0,250.0,126827.37987259543
311585,42.42733150000629,-82.90891833438627,6.0,350.0,127730.36408650584
311581,30.18393867398157,-81.62541156086436,8.0,350.0,147574.0316839829
311579,33.47922772277374,-111.98561491929566,1.0,350.0,185534.72352952286
311578,39.05586437918734,-104.85310571754088,1.0,350.0,151265.542241727
311577,35.4808394197364,-108.433538293779,1.0,350.0,167014.98666813713
311576,38.41137461248874,-96.2366737725612,1.0,350.0,130098.33235894657
311575,35.49790189661056,-80.56150457086042,4.0,350.0,129727.8201980463
311574,37.18401357570761,-77.3180918831336,1.0,350.0,138989.80196737513
311573,41.41679625863407,-84.10496337251186,1.0,350.0,123563.64785611653
311569,31.925446860260507,-81.3331418951143,1.0,400.0,139866.1038066264
311568,27.961213073149523,-82.7671794973801,4.0,150.0,157174.85907825228
311567,28.066317970134264,-82.73950409041777,4.0,150.0,156553.36328622972
311566,28.04260164512189,-82.67764269156174,8.0,150.0,156803.15958017795
311565,28.04077444575792,-82.50851136424468,4.0,150.0,157160.22082560154
311564,27.995425307968876,-82.48351328486353,6.0,150.0,157503.14899227137
311563,27.99688201987439,-82.55060219034677,6.0,150.0,157340.1460077685
311508,37.76891999999784,-122.4196599999998,12.0,320.0,220974.74903410976
311418,37.288538528018606,-121.78112113586168,1.0,350.0,218354.03801439804
311417,39.91532375933673,-86.11032892406269,6.0,350.0,120515.51805843199
311416,34.24029395134224,-81.45859702174242,4.0,350.0,130426.54445768039
311415,45.23396638672571,-122.8104363663728,4.0,350.0,224013.18327213704
311413,27.791037815307646,-82.34189562495864,1.0,150.0,159221.84832195632
311403,33.93041471138152,-81.07722241752805,4.0,350.0,132366.79503640067
311402,35.57189742519469,-82.95587489466722,4.0,350.0,124854.53976288995
311401,29.49513556509029,-95.91121910369873,4.0,350.0,154016.96284623336
311400,30.559759429331464,-88.20561126664307,4.0,350.0,140062.7475325744
311377,34.42513946425062,-119.70576370458453,6.0,350.0,215889.39163831202
311325,48.18762603076519,-122.19930614977596,1.0,200.0,227624.24524706943
311312,46.64174330922404,-122.9504899920414,2.0,240.0,227010.90371161685
311293,42.303934337288695,-74.27238198055977,1.0,7.2,155218.87860247662
311292,42.44298734261224,-76.50905970426822,1.0,7.2,145918.13126917905
311291,41.95454817359669,-75.27938221780994,1.0,7.2,149832.46066527936
311290,42.411672921057885,-73.26333658293544,1.0,120.0,160453.03719893022
311289,42.62486305041975,-73.70265286385518,1.0,240.0,158741.3695460309
311288,40.45715368712365,-74.39459608300285,1.0,240.0,152116.56577684387
311277,39.025733802725455,-94.24962996267745,1.0,400.0,126486.22532138391
311276,32.79321951069673,-97.05808559989504,1.0,400.0,142267.94636912344
311255,38.03633326655236,-78.51417960980038,1.0,25.0,133494.38615926928
311247,47.38668102427937,-122.18607816241465,1.0,150.0,225202.4037172268
311235,42.35764521282542,-88.06840312134125,1.0,150.0,124950.61768185053
311233,34.17519270988271,-82.02255955794413,1.0,150.0,129435.94930065158
311232,33.07665945170558,-116.59711187722712,1.0,62.0,206082.0852232745
311231,41.08445878794839,-111.97922098814816,1.0,350.0,174891.2255825496
311230,41.02832207997864,-77.52166789687607,1.0,350.0,138779.2758874169
311229,43.5392919274984,-123.28792976328268,1.0,350.0,224685.7029674636
311228,35.53098583638754,-119.18807039329766,1.0,350.0,209785.41377175448
311227,39.00293656591765,-93.73493709694452,1.0,350.0,125696.24990776356
311226,42.35992563926351,-88.00052452011288,1.0,150.0,124935.10984292698
309482,36.83921292277964,-121.39554278998855,1.0,350.0,217382.8426569763
309472,37.98977960021405,-121.69756073685744,1.0,180.0,216553.42742269023
309471,35.45786596731854,-79.15142571674193,1.0,150.0,134342.20693204703
309470,34.69911412220576,-79.8821816984971,1.0,150.0,133632.36825224492
309469,34.21638867863879,-80.24846147155853,1.0,150.0,133863.54658369772
309468,42.18335682126252,-71.18777428626686,1.0,240.0,171310.65661685506
309467,42.20136278433358,-71.18890390926208,1.0,180.0,171331.35648142846
309379,34.13853417668945,-82.13121362784486,2.0,150.0,129353.41473395441
