station_id,latitude,longitude,number_of_points,power_kw,charger_cost
311277,39.025733802725455,-94.24962996,1,400,335000
311276,32.79321951069673,-97.0580856,1,400,335000
311255,38.03633326655236,-78.51417961,1,25,5000
311247,47.38668102427937,-122.1860782,1,150,260000
311235,42.35764521282542,-88.06840312,1,150,260000
311233,34.17519270988271,-82.02255956,1,150,260000
311232,33.07665945170558,-116.5971119,1,62,115000
311231,41.08445878794839,-111.979221,1,350,335000
311230,41.02832207997864,-77.5216679,1,350,335000
311229,43.53929193,-123.2879298,1,350,335000
311228,35.53098583638754,-119.1880704,1,350,335000
311227,39.00293656591765,-93.7349371,1,350,335000
311226,42.35992563926351,-88.00052452,1,150,260000
309482,36.83921292277964,-121.3955428,1,350,335000
309472,37.98977960021405,-121.6975607,1,180,260000
309471,35.45786596731854,-79.15142572,1,150,260000
309470,34.69911412220576,-79.8821817,1,150,260000
309469,34.21638867863879,-80.24846147,1,150,260000
309468,42.18335682126252,-71.18777429,1,240,325000
309467,42.20136278433358,-71.18890391,1,180,260000
309379,34.13853417668945,-82.13121363,2,150,260000
309378,34.902852224750134,-79.71125827,2,150,260000
309377,33.968532006106074,-80.04545028,2,150,260000
309376,33.87412619887124,-79.75529981,2,150,260000
309249,32.97899335131942,-115.5384443,1,180,260000
309178,38.49642636262331,-121.4315928,1,325,325000
309177,38.59746087005309,-121.4219682,1,350,335000
309170,39.32635900000025,-101.726707,1,400,335000
309168,34.992387083464536,-117.5407662,1,200,325000
309167,35.34016706276604,-118.8427837,1,200,325000
309166,34.49588166,-118.6259099,1,200,325000
309165,34.818293627961324,-118.8822684,1,200,325000
309164,34.82380112806031,-118.8784296,1,200,325000
309163,35.98712411066941,-119.9628672,1,200,325000
309162,37.10459785786704,-121.0152023,1,200,325000
309161,38.05195749,-121.3739071,1,200,325000
309160,38.114984,-121.394141,1,200,325000
309142,29.32564972113903,-96.12266805,10,400,335000
309135,37.642403423206346,-122.4035062,4,120,190000
309134,37.56776288296968,-84.30630315,1,180,260000
309101,32.06392892572525,-84.2530486,1,62,115000
309100,32.282403,-83.464763,1,62,115000
309088,32.09036761630553,-84.66670862,1,62.5,115000
309087,33.29357762562715,-85.47827818,1,80,115000
309078,38.78429739017122,-121.283978,4,19.2,5000
309077,38.78404882954598,-121.2819677,4,19.2,5000
309075,42.43093986125078,-83.42429236,2,60,115000
309072,44.28445990895344,-73.98751575,4,200,325000
309071,43.08273774135395,-79.05920345,4,200,325000
309059,42.59089235729451,-83.48661257,2,180,260000
309051,37.55283996698718,-121.9790903,1,350,335000
309044,37.50415849614184,-77.60369852,4,350,335000
309043,38.55434676072196,-90.26376247,6,350,335000
309042,25.685233380708667,-80.39895534,1,350,335000
309041,32.86959694815948,-117.2310404,1,350,335000
309040,37.80367971,-122.2823071,1,350,335000
309039,42.48482982685712,-71.01842748,1,350,335000
309038,36.959506142842926,-122.0461795,1,350,335000
309037,37.67689035123777,-121.7854518,1,350,335000
309036,32.85544064909381,-116.9327104,10,350,335000
309035,29.877877857490745,-95.64590107,6,350,335000
309034,37.436195222193575,-121.8847995,8,350,335000
309033,45.19556916945768,-93.54930606,1,350,335000
309032,42.95878285587239,-87.9136793,1,350,335000
309031,35.05890755413105,-106.5825187,6,350,335000
309030,28.448394908959884,-81.47753573,6,350,335000
309028,34.42361217270316,-117.3249967,1,350,335000
309027,32.998110364303855,-96.69882325,1,350,335000
309003,40.18985201656716,-77.24197412,4,400,335000
308854,42.97687881948349,-82.54211552,4,350,335000
308838,31.31673057737062,-89.40708852,1,120,190000
308836,31.44784899516108,-96.07887683,4,350,335000
308835,42.97682061944423,-82.54242569,4,350,335000
308834,36.60633169203688,-77.56097256,4,350,335000
308788,39.939693641040606,-77.62922605,4,400,335000
308786,37.474649248812696,-81.06773902,1,150,260000
308752,38.46668100291021,-121.8229028,2,62,115000
308680,29.73033967329539,-95.48068852,2,19.2,5000
308676,37.80278378709531,-81.21301329,1,150,260000
308672,42.549943411461015,-83.78909741,4,160,260000
308671,32.672431232301065,-97.00582784,1,400,335000
308670,43.088424,-70.792789,1,400,335000
308642,36.84866857121382,-81.48346357,2,14.2,5000
308572,37.80474101517916,-122.2760223,1,240,325000
308571,38.57259,-121.579743,16,250,325000
308570,37.421613339457295,-121.9174519,18,250,325000
308557,42.468610180594055,-83.14073054,2,240,325000
308510,34.024821852420615,-84.35867882,1,11.5,5000
308286,44.27413144565011,-84.22207191,2,200,325000
308282,42.72507868868996,-85.67648991,4,200,325000
308223,41.86328695566951,-88.19591539,1,150,260000
